player_id,player_display_name,recent_team,season,week,opponent_team,is_home,is_division_rival,total_line,team_spread,team_implied_total,rolling_4wk_avg_rb_fantasy_points_allowed,rolling_4wk_avg_rb_rushing_yards_allowed,rolling_4wk_avg_rb_receiving_yards_allowed,rolling_4wk_avg_rb_receptions_allowed,snap_percentage,carries,targets,total_touches,target_share,red_zone_touches,goal_line_touches,rushing_yards,rushing_tds,rushing_epa,receptions,receiving_yards,receiving_tds,receiving_epa,yards_per_touch,fantasy_points,fantasy_points_ppr,dk_fantasy_points,fd_fantasy_points,dk_showdown_captain_points
00-0033293,Aaron Jones,GB,2020,12,CHI,1,1,44.0,7.5,18.25,14.799999721348286,98.25,34.75,4.5,0.54,17,2,19,0.06896551698446274,4.0,0.0,90.0,0,3.625481367111206,1,0.0,0,-1.563775897026062,4.7368421052631575,9.0,10.0,10.0,9.5,15.0
00-0033293,Aaron Jones,GB,2020,13,PHI,1,0,50.0,8.0,21.0,17.775000035762787,94.5,23.25,2.75,0.66,15,3,18,0.09375,4.0,0.0,130.0,1,6.318239212036133,3,18.0,0,-0.1476861983537674,8.222222222222221,20.799999237060547,23.799999237060547,26.8,22.3,40.2
00-0033293,Aaron Jones,GB,2020,14,DET,0,0,0.0,0.0,0.0,25.599999994039536,82.75,43.25,5.75,0.7,15,3,18,0.09677419066429138,3.0,0.0,69.0,0,-1.4719796180725098,2,6.0,0,-2.169609546661377,4.166666666666667,7.5,9.5,9.5,8.5,14.25
00-0033293,Aaron Jones,GB,2020,15,CAR,1,0,53.0,9.5,21.75,12.849999815225601,101.25,22.25,3.5,0.9,20,4,24,0.1538461595773697,3.0,0.0,145.0,1,6.679203033447266,3,13.0,0,-1.4206660985946655,6.583333333333333,21.799999237060547,24.799999237060547,27.8,23.3,41.7
00-0033293,Aaron Jones,GB,2020,16,TEN,1,0,52.5,3.0,24.75,17.75000023841858,80.25,57.25,7.25,0.38,10,3,13,0.125,4.0,1.0,94.0,0,1.586157202720642,2,14.0,0,-1.15301513671875,8.307692307692308,10.800000190734863,12.800000190734863,12.8,11.8,19.200000000000003
00-0033293,Aaron Jones,GB,2020,17,CHI,0,0,0.0,0.0,0.0,15.675000183284283,84.75,32.0,4.25,0.7,11,5,16,0.2083333283662796,3.0,1.0,42.0,1,-0.06436505913734436,4,43.0,0,2.421781301498413,5.3125,14.5,18.5,18.5,16.5,27.75
00-0033293,Aaron Jones,GB,2020,19,LA,1,0,45.0,7.0,19.0,14.699999898672104,69.0,33.0,4.5,0.62,14,2,16,0.05882352963089943,0.0,0.0,99.0,1,2.402722120285034,1,14.0,0,0.44588184356689453,7.0625,17.299999237060547,18.299999237060547,18.3,17.8,27.450000000000003
00-0033293,Aaron Jones,GB,2020,20,TB,1,0,53.0,3.0,25.0,11.975000161677599,74.75,35.0,4.5,0.31,6,6,12,0.1304347813129425,0.0,0.0,27.0,0,0.8209036588668823,4,7.0,0,-8.169720649719238,2.8333333333333335,1.399999976158142,5.400000095367432,6.4,3.4000000000000004,9.600000000000001
00-0033293,Aaron Jones,GB,2021,1,NO,0,0,0.0,0.0,0.0,14.700000036507845,72.0,15.0,2.0,0.49,5,2,7,0.06060606241226196,1.0,0.0,9.0,0,-2.3942458629608154,2,13.0,0,-0.23304788768291473,3.142857142857143,2.200000047683716,4.199999809265137,4.2,3.2,6.300000000000001
00-0033293,Aaron Jones,GB,2021,2,DET,1,1,49.5,11.5,19.0,29.425000190734863,131.0,38.25,4.25,0.69,17,6,23,0.2222222238779068,10.0,4.0,67.0,1,1.1249761581420898,6,48.0,3,8.494670867919922,5.0,35.5,41.5,41.5,38.5,62.25
